regime,arm,method,seed,online_ppl,events_stored,gate_open_frac,n_steps,n_finite,n_nonfinite,n_spike,n_event_unified,first_spike_t,median_loss,max_finite_loss,max_excess,worst_window_mean,worst_window_end_t,first_nonfinite_t,mean_loss_finite,worst_window_ppl,median_ppl,max_finite_ppl
E4-gpt2,gpt2_cohg_lr0.001,cohg,0,20.678233983134152,0,0.00033344448149383126,2999,2999,0,0,0,,3.370814323425293,4.564641952514648,1.3541659416814846,3.7842934465408327,1096,,3.02908164865973,44.00456799249668,29.102216027485664,96.02820520308613
E4-gpt2,gpt2_cohg_lr0.001,cohg,1,20.680758434130446,0,0.00033344448149383126,2999,2999,0,0,0,,3.376188278198242,4.651999473571777,1.3778850852637852,3.763629205226898,1090,,3.029203723732254,43.10457781294729,29.25903100110473,104.79430969105925
E4-gpt2,gpt2_cohg_lr0.001,cohg,2,20.707146017745035,0,0.00033344448149383126,2999,2999,0,0,0,,3.377040386199951,4.5784711837768555,1.3557644150441523,3.785055010318756,1097,,3.0304788589457665,44.03809304165416,29.28397348087712,97.36542652032317
E4-gpt2,gpt2_cohg_nogate_lr0.001,cohg_nogate,0,19.773043406771468,0,1.0,2999,2999,0,0,0,,3.305692672729492,4.675024032592773,1.414234321042504,3.874184715747833,1097,,2.9843195659909973,48.14343170484488,27.26742244885161,107.23514419962864
E4-gpt2,gpt2_cohg_nogate_lr0.001,cohg_nogate,1,38.02648485863276,0,1.0,2999,2999,0,0,0,,3.5985212326049805,10.297813415527344,2.8616792148459065,6.413870918750763,2404,,3.6382828869196366,610.2513483352519,36.54415416379971,29667.67699647844
E4-gpt2,gpt2_cohg_nogate_lr0.001,cohg_nogate,2,20.23053254124106,0,1.0,2999,2999,0,0,0,,3.3027219772338867,10.50586223602295,3.180970819960412,4.0985302519798275,1098,,3.0071929751654074,60.25166771952686,27.18653943868594,36529.017949214845
E4-gpt2,gpt2_cohg_r0_lr0.001,cohg_r0,0,20.678233983134152,0,0.00033344448149383126,2999,2999,0,0,0,,3.370814323425293,4.564641952514648,1.3541659416814846,3.7842934465408327,1096,,3.02908164865973,44.00456799249668,29.102216027485664,96.02820520308613
E4-gpt2,gpt2_cohg_r0_lr0.001,cohg_r0,1,20.680758434130446,0,0.00033344448149383126,2999,2999,0,0,0,,3.376188278198242,4.651999473571777,1.3778850852637852,3.763629205226898,1090,,3.029203723732254,43.10457781294729,29.25903100110473,104.79430969105925
E4-gpt2,gpt2_cohg_r0_lr0.001,cohg_r0,2,20.707146017745035,0,0.00033344448149383126,2999,2999,0,0,0,,3.377040386199951,4.5784711837768555,1.3557644150441523,3.785055010318756,1097,,3.0304788589457665,44.03809304165416,29.28397348087712,97.36542652032317
E4-gpt2,gpt2_fixed_lr0.001,fixed,0,21.094977530653704,0,,2999,2999,0,0,0,,3.3956527709960938,4.570660591125488,1.346032971971016,3.793909831047058,1097,,3.0490349804254007,44.4297740340039,29.83412196952809,96.60790702460794
E4-gpt2,gpt2_fixed_lr0.001,fixed,1,21.093995380329616,0,,2999,2999,0,0,0,,3.3934876918792725,4.652344703674316,1.370962598393249,3.7729961895942687,1090,,3.048988420850398,43.510234644044395,29.76959860937777,104.83049408695138
E4-gpt2,gpt2_fixed_lr0.001,fixed,2,21.096049803084554,0,,2999,2999,0,0,0,,3.397359609603882,4.5855793952941895,1.3497480167631855,3.7947536635398866,1097,,3.0490858098315017,44.467281143616134,29.885087483315296,98.05998618051326
E4-gpt2,gpt2_fixed_lr0.003,fixed,0,19.858696640246762,0,,2999,2999,0,0,0,,3.3311800956726074,5.916172027587891,1.7759988525607893,3.807190124988556,100,,2.9886420290841387,45.023749849898245,27.971331080862722,370.98885717508733
E4-gpt2,gpt2_fixed_lr0.003,fixed,1,19.808811728851936,0,,2999,2999,0,0,0,,3.332798957824707,5.5865960121154785,1.6762475273221424,3.777337567806244,100,,2.986126875511683,43.69953965372009,28.01664948231862,266.82580029354506
E4-gpt2,gpt2_fixed_lr0.003,fixed,2,19.85136349199558,0,,2999,2999,0,0,0,,3.3303306102752686,5.027620792388916,1.5096461525101732,3.7859486055374147,100,,2.988272694547242,44.07746285875542,27.947579933120274,152.56958581326097
E4-gpt2,gpt2_hd_lr0.001_ml0.2,hd,0,21.139386327247898,0,,2999,2999,0,0,0,,3.4008398056030273,4.567678451538086,1.3431030900110739,3.7962735652923585,1097,,3.051137951035307,44.534918430148394,29.98927463590715,96.32023790853384
E4-gpt2,gpt2_hd_lr0.001_ml0.2,hd,1,21.11191957358339,0,,2999,2999,0,0,0,,3.394780158996582,4.645689487457275,1.3684802166483832,3.774188663959503,1090,,3.0498377896818014,43.56215043145357,29.808099712020887,104.13514091206756
E4-gpt2,gpt2_hd_lr0.001_ml0.2,hd,2,21.149494395050873,0,,2999,2999,0,0,0,,3.4023232460021973,4.583474159240723,1.3471601102647737,3.797371826171875,1097,,3.0516159995351884,44.58385625716418,30.03379495089651,97.85376391164638
E4-gpt2,gpt2_hd_lr0.001_ml200,hd,0,inf,0,,2999,2999,0,294,294,100,1299447992549376.0,4.291074337642906e+16,33.02228609568501,5813588912840376.0,290,,2215038810091595.5,inf,inf,inf
E4-gpt2,gpt2_hd_lr0.001_ml200,hd,1,inf,0,,2999,2999,0,269,269,772,398590345216.0,1439271189741568.0,3610.9032921046114,23052768592527.36,1038,,2232128973515.6914,inf,inf,inf
E4-gpt2,gpt2_hd_lr0.001_ml200,hd,2,inf,0,,2999,2999,0,293,293,558,1289201408540672.0,3.366796001154171e+17,261.1536086487261,1.5867725650644172e+16,669,,3093503880149376.5,inf,inf,inf
E4-gpt2,gpt2_hd_lr0.001_ml20,hd,0,18.48200129488717,0,,2999,2999,0,0,0,,3.218344211578369,4.498599052429199,1.3977992273930686,3.6628806471824644,1090,,2.916797355527916,38.97345008231896,24.986713199786916,89.8911103141046
E4-gpt2,gpt2_hd_lr0.001_ml20,hd,1,21.581574707792623,0,,2999,2999,0,0,0,,3.296779155731201,4.755985736846924,1.4426158114288616,3.710111758708954,1090,,3.0718399278717703,40.858372550805285,27.02545381317549,116.2782164129277
E4-gpt2,gpt2_hd_lr0.001_ml20,hd,2,17.984254072808948,0,,2999,2999,0,0,0,,3.213040590286255,4.480712890625,1.3945397715083974,3.6473775029182436,1096,,2.889496601325506,38.3738985386003,24.854543933317487,88.29759677293652
E4-gpt2,gpt2_hd_lr0.001_ml2,hd,0,20.196968185320326,0,,2999,2999,0,0,0,,3.361057758331299,4.536893844604492,1.3498410830217251,3.762559516429901,1090,,3.005532503306925,43.05849398103508,28.819658996858394,93.40023344142126
E4-gpt2,gpt2_hd_lr0.001_ml2,hd,1,20.117277389676882,0,,2999,2999,0,0,0,,3.3611302375793457,4.614767074584961,1.3729807381425578,3.7406088948249816,1090,,3.0015790174706214,42.1236312189108,28.821747899771594,100.96430863990282
